date,bairro,lat,lon,altitude,vulnerabilidade,densidade_pop,chuva_mm,mare_m,ocorrencias,tipo_bairro
2025-01-12 00:00:00+00:00,Brasília Teimosa,-8.08896,-34.879911,2,0.82,18500,9.2,1.439,0,litoraneo
2025-01-13 00:00:00+00:00,Brasília Teimosa,-8.088624,-34.878874,2,0.82,18500,20.5,1.359,1,litoraneo
2025-01-14 00:00:00+00:00,Brasília Teimosa,-8.089994,-34.88021,2,0.82,18500,8.72,1.39,1,litoraneo
2025-01-15 00:00:00+00:00,Brasília Teimosa,-8.089094,-34.879135,2,0.82,18500,3.77,1.379,3,litoraneo
2025-01-16 00:00:00+00:00,Brasília Teimosa,-8.088938,-34.879665,2,0.82,18500,4.31,1.306,0,litoraneo
2025-01-17 00:00:00+00:00,Brasília Teimosa,-8.088521,-34.879204,2,0.82,18500,7.18,1.225,1,litoraneo
2025-01-18 00:00:00+00:00,Brasília Teimosa,-8.090145,-34.878715,2,0.82,18500,10.44,1.181,0,litoraneo
2025-01-19 00:00:00+00:00,Brasília Teimosa,-8.088978,-34.879853,2,0.82,18500,5.19,1.157,2,litoraneo
2025-01-20 00:00:00+00:00,Brasília Teimosa,-8.089459,-34.879707,2,0.82,18500,4.52,1.084,1,litoraneo
2025-01-21 00:00:00+00:00,Brasília Teimosa,-8.089251,-34.879602,2,0.82,18500,8.4,1.168,0,litoraneo
2025-01-22 00:00:00+00:00,Brasília Teimosa,-8.089154,-34.879399,2,0.82,18500,3.73,1.044,2,litoraneo
2025-01-23 00:00:00+00:00,Brasília Teimosa,-8.089065,-34.879108,2,0.82,18500,10.9,1.027,0,litoraneo
2025-01-24 00:00:00+00:00,Brasília Teimosa,-8.088664,-34.879508,2,0.82,18500,9.42,1.088,2,litoraneo
2025-01-25 00:00:00+00:00,Brasília Teimosa,-8.08948,-34.879525,2,0.82,18500,25.57,1.057,1,litoraneo
2025-01-26 00:00:00+00:00,Brasília Teimosa,-8.08976,-34.878684,2,0.82,18500,8.59,1.32,1,litoraneo
2025-01-27 00:00:00+00:00,Brasília Teimosa,-8.089157,-34.878981,2,0.82,18500,14.8,1.189,3,litoraneo
2025-01-28 00:00:00+00:00,Brasília Teimosa,-8.089634,-34.879671,2,0.82,18500,1.36,1.243,7,litoraneo
2025-01-29 00:00:00+00:00,Brasília Teimosa,-8.088979,-34.878576,2,0.82,18500,7.31,1.401,2,litoraneo
2025-01-30 00:00:00+00:00,Brasília Teimosa,-8.088355,-34.879161,2,0.82,18500,7.28,1.553,3,litoraneo
2025-01-31 00:00:00+00:00,Brasília Teimosa,-8.089235,-34.879241,2,0.82,18500,4.67,1.47,2,litoraneo
2025-02-01 00:00:00+00:00,Brasília Teimosa,-8.089241,-34.880432,2,0.82,18500,17.82,1.567,4,litoraneo
2025-02-02 00:00:00+00:00,Brasília Teimosa,-8.089651,-34.879356,2,0.82,18500,6.63,1.651,1,litoraneo
2025-02-03 00:00:00+00:00,Brasília Teimosa,-8.089508,-34.87988,2,0.82,18500,11.32,1.643,1,litoraneo
2025-02-04 00:00:00+00:00,Brasília Teimosa,-8.088843,-34.878998,2,0.82,18500,1.66,1.688,1,litoraneo
2025-02-05 00:00:00+00:00,Brasília Teimosa,-8.087913,-34.879755,2,0.82,18500,12.1,1.677,1,litoraneo
2025-02-06 00:00:00+00:00,Brasília Teimosa,-8.088338,-34.880828,2,0.82,18500,9.84,1.562,4,litoraneo
2025-02-07 00:00:00+00:00,Brasília Teimosa,-8.088256,-34.879159,2,0.82,18500,8.72,1.662,1,litoraneo
2025-02-08 00:00:00+00:00,Brasília Teimosa,-8.089538,-34.880291,2,0.82,18500,6.63,1.837,3,litoraneo
2025-02-09 00:00:00+00:00,Brasília Teimosa,-8.089329,-34.879913,2,0.82,18500,12.68,1.843,2,litoraneo
2025-02-10 00:00:00+00:00,Brasília Teimosa,-8.090351,-34.879258,2,0.82,18500,4.88,1.618,1,litoraneo
2025-02-11 00:00:00+00:00,Brasília Teimosa,-8.088836,-34.879496,2,0.82,18500,8.89,1.596,1,litoraneo
2025-02-12 00:00:00+00:00,Brasília Teimosa,-8.08896,-34.88097,2,0.82,18500,23.76,1.678,1,litoraneo
2025-02-13 00:00:00+00:00,Brasília Teimosa,-8.087708,-34.880406,2,0.82,18500,4.57,1.466,1,litoraneo
2025-02-14 00:00:00+00:00,Brasília Teimosa,-8.088547,-34.879214,2,0.82,18500,5.93,1.399,3,litoraneo
2025-02-15 00:00:00+00:00,Brasília Teimosa,-8.089015,-34.879555,2,0.82,18500,3.59,1.57,3,litoraneo
2025-02-16 00:00:00+00:00,Brasília Teimosa,-8.088903,-34.87981,2,0.82,18500,9.52,1.45,2,litoraneo
2025-02-17 00:00:00+00:00,Brasília Teimosa,-8.090035,-34.879776,2,0.82,18500,8.28,1.445,3,litoraneo
2025-02-18 00:00:00+00:00,Brasília Teimosa,-8.089839,-34.879028,2,0.82,18500,6.76,1.378,3,litoraneo
2025-02-19 00:00:00+00:00,Brasília Teimosa,-8.089646,-34.880009,2,0.82,18500,8.57,1.188,2,litoraneo
2025-02-20 00:00:00+00:00,Brasília Teimosa,-8.088457,-34.879822,2,0.82,18500,17.9,1.242,1,litoraneo
2025-02-21 00:00:00+00:00,Brasília Teimosa,-8.089629,-34.879856,2,0.82,18500,4.69,1.169,3,litoraneo
2025-02-22 00:00:00+00:00,Brasília Teimosa,-8.08901,-34.878278,2,0.82,18500,7.59,1.296,1,litoraneo
2025-02-23 00:00:00+00:00,Brasília Teimosa,-8.088159,-34.878927,2,0.82,18500,5.67,1.262,4,litoraneo
2025-02-24 00:00:00+00:00,Brasília Teimosa,-8.089072,-34.879053,2,0.82,18500,18.74,1.258,1,litoraneo
2025-02-25 00:00:00+00:00,Brasília Teimosa,-8.089606,-34.880427,2,0.82,18500,1.19,1.472,1,litoraneo
2025-02-26 00:00:00+00:00,Brasília Teimosa,-8.089663,-34.879675,2,0.82,18500,11.88,1.414,2,litoraneo
2025-02-27 00:00:00+00:00,Brasília Teimosa,-8.089234,-34.880153,2,0.82,18500,6.63,1.367,2,litoraneo
2025-02-28 00:00:00+00:00,Brasília Teimosa,-8.087815,-34.880154,2,0.82,18500,30.74,1.545,2,litoraneo
2025-03-01 00:00:00+00:00,Brasília Teimosa,-8.088955,-34.879727,2,0.82,18500,45.26,1.394,1,litoraneo
2025-03-02 00:00:00+00:00,Brasília Teimosa,-8.088857,-34.879986,2,0.82,18500,20.77,1.713,1,litoraneo
2025-03-03 00:00:00+00:00,Brasília Teimosa,-8.089051,-34.879665,2,0.82,18500,21.5,1.732,1,litoraneo
2025-03-04 00:00:00+00:00,Brasília Teimosa,-8.089641,-34.879292,2,0.82,18500,29.6,1.695,4,litoraneo
2025-03-05 00:00:00+00:00,Brasília Teimosa,-8.088937,-34.880226,2,0.82,18500,31.03,1.794,1,litoraneo
2025-03-06 00:00:00+00:00,Brasília Teimosa,-8.08974,-34.878723,2,0.82,18500,36.51,1.832,3,litoraneo
2025-03-07 00:00:00+00:00,Brasília Teimosa,-8.089043,-34.879525,2,0.82,18500,5.13,1.997,3,litoraneo
2025-03-08 00:00:00+00:00,Brasília Teimosa,-8.089744,-34.87955,2,0.82,18500,18.3,1.858,2,litoraneo
2025-03-09 00:00:00+00:00,Brasília Teimosa,-8.088972,-34.879109,2,0.82,18500,7.59,1.895,2,litoraneo
2025-03-10 00:00:00+00:00,Brasília Teimosa,-8.088841,-34.879963,2,0.82,18500,51.08,1.906,3,litoraneo
2025-03-11 00:00:00+00:00,Brasília Teimosa,-8.089575,-34.878284,2,0.82,18500,25.08,1.728,3,litoraneo
2025-03-12 00:00:00+00:00,Brasília Teimosa,-8.088796,-34.88036,2,0.82,18500,29.49,1.756,0,litoraneo
2025-03-13 00:00:00+00:00,Brasília Teimosa,-8.089117,-34.878715,2,0.82,18500,22.55,1.635,2,litoraneo
2025-03-14 00:00:00+00:00,Brasília Teimosa,-8.08976,-34.879713,2,0.82,18500,15.55,1.773,4,litoraneo
2025-03-15 00:00:00+00:00,Brasília Teimosa,-8.088885,-34.879496,2,0.82,18500,39.03,1.576,4,litoraneo
2025-03-16 00:00:00+00:00,Brasília Teimosa,-8.089803,-34.879349,2,0.82,18500,89.11,1.403,7,litoraneo
2025-03-17 00:00:00+00:00,Brasília Teimosa,-8.088666,-34.879458,2,0.82,18500,11.79,1.55,3,litoraneo
2025-03-18 00:00:00+00:00,Brasília Teimosa,-8.089059,-34.879067,2,0.82,18500,9.44,1.443,0,litoraneo
2025-03-19 00:00:00+00:00,Brasília Teimosa,-8.089536,-34.879203,2,0.82,18500,16.66,1.466,4,litoraneo
2025-03-20 00:00:00+00:00,Brasília Teimosa,-8.090067,-34.880204,2,0.82,18500,19.01,1.257,1,litoraneo
2025-03-21 00:00:00+00:00,Brasília Teimosa,-8.088608,-34.879707,2,0.82,18500,11.56,1.356,0,litoraneo
2025-03-22 00:00:00+00:00,Brasília Teimosa,-8.088955,-34.878372,2,0.82,18500,22.0,1.348,3,litoraneo
2025-03-23 00:00:00+00:00,Brasília Teimosa,-8.089287,-34.880187,2,0.82,18500,15.44,1.258,2,litoraneo
2025-03-24 00:00:00+00:00,Brasília Teimosa,-8.087921,-34.879131,2,0.82,18500,34.32,1.403,1,litoraneo
2025-03-25 00:00:00+00:00,Brasília Teimosa,-8.088957,-34.879433,2,0.82,18500,13.53,1.365,0,litoraneo
2025-03-26 00:00:00+00:00,Brasília Teimosa,-8.08952,-34.879604,2,0.82,18500,32.06,1.555,2,litoraneo
2025-03-27 00:00:00+00:00,Brasília Teimosa,-8.088438,-34.880166,2,0.82,18500,32.65,1.361,3,litoraneo
2025-03-28 00:00:00+00:00,Brasília Teimosa,-8.089425,-34.87936,2,0.82,18500,7.53,1.542,7,litoraneo
2025-03-29 00:00:00+00:00,Brasília Teimosa,-8.088691,-34.880345,2,0.82,18500,18.23,1.501,3,litoraneo
2025-03-30 00:00:00+00:00,Brasília Teimosa,-8.088975,-34.878811,2,0.82,18500,22.93,1.639,2,litoraneo
2025-03-31 00:00:00+00:00,Brasília Teimosa,-8.089193,-34.879802,2,0.82,18500,21.43,1.716,2,litoraneo
2025-04-01 00:00:00+00:00,Brasília Teimosa,-8.088916,-34.879863,2,0.82,18500,18.31,1.766,1,litoraneo
2025-04-02 00:00:00+00:00,Brasília Teimosa,-8.089715,-34.879689,2,0.82,18500,20.99,1.641,3,litoraneo
2025-04-03 00:00:00+00:00,Brasília Teimosa,-8.088775,-34.87965,2,0.82,18500,31.91,1.924,4,litoraneo
2025-04-04 00:00:00+00:00,Brasília Teimosa,-8.089063,-34.879715,2,0.82,18500,55.15,1.79,4,litoraneo
2025-04-05 00:00:00+00:00,Brasília Teimosa,-8.089002,-34.879245,2,0.82,18500,36.98,1.867,6,litoraneo
2025-04-06 00:00:00+00:00,Brasília Teimosa,-8.089036,-34.879941,2,0.82,18500,21.5,2.014,3,litoraneo
2025-04-07 00:00:00+00:00,Brasília Teimosa,-8.089187,-34.879944,2,0.82,18500,35.08,1.837,0,litoraneo
2025-04-08 00:00:00+00:00,Brasília Teimosa,-8.089583,-34.879624,2,0.82,18500,70.84,1.827,2,litoraneo
2025-04-09 00:00:00+00:00,Brasília Teimosa,-8.088996,-34.880621,2,0.82,18500,22.57,1.74,1,litoraneo
2025-04-10 00:00:00+00:00,Brasília Teimosa,-8.088201,-34.87928,2,0.82,18500,19.62,1.732,1,litoraneo
2025-04-11 00:00:00+00:00,Brasília Teimosa,-8.088194,-34.879421,2,0.82,18500,16.11,1.779,2,litoraneo
2025-04-12 00:00:00+00:00,Brasília Teimosa,-8.088441,-34.879501,2,0.82,18500,28.0,1.727,2,litoraneo
2025-04-13 00:00:00+00:00,Brasília Teimosa,-8.089426,-34.879842,2,0.82,18500,60.58,1.553,1,litoraneo
2025-04-14 00:00:00+00:00,Brasília Teimosa,-8.088236,-34.879382,2,0.82,18500,18.79,1.577,3,litoraneo
2025-04-15 00:00:00+00:00,Brasília Teimosa,-8.088554,-34.879655,2,0.82,18500,23.11,1.489,0,litoraneo
2025-04-16 00:00:00+00:00,Brasília Teimosa,-8.088988,-34.879076,2,0.82,18500,36.67,1.491,2,litoraneo
2025-04-17 00:00:00+00:00,Brasília Teimosa,-8.0887,-34.87951,2,0.82,18500,51.48,1.334,2,litoraneo
2025-04-18 00:00:00+00:00,Brasília Teimosa,-8.088853,-34.87947,2,0.82,18500,30.09,1.229,0,litoraneo
2025-04-19 00:00:00+00:00,Brasília Teimosa,-8.089178,-34.879069,2,0.82,18500,16.32,1.246,2,litoraneo
2025-04-20 00:00:00+00:00,Brasília Teimosa,-8.089747,-34.87902,2,0.82,18500,4.45,1.301,2,litoraneo
2025-04-21 00:00:00+00:00,Brasília Teimosa,-8.089062,-34.880241,2,0.82,18500,17.18,1.306,1,litoraneo
2025-04-22 00:00:00+00:00,Brasília Teimosa,-8.088676,-34.878989,2,0.82,18500,37.79,1.248,2,litoraneo
2025-04-23 00:00:00+00:00,Brasília Teimosa,-8.089136,-34.879619,2,0.82,18500,41.83,1.303,2,litoraneo
2025-04-24 00:00:00+00:00,Brasília Teimosa,-8.088642,-34.879427,2,0.82,18500,33.19,1.348,3,litoraneo
2025-04-25 00:00:00+00:00,Brasília Teimosa,-8.089569,-34.879278,2,0.82,18500,37.82,1.157,0,litoraneo
2025-04-26 00:00:00+00:00,Brasília Teimosa,-8.089115,-34.878598,2,0.82,18500,26.32,1.388,1,litoraneo
2025-04-27 00:00:00+00:00,Brasília Teimosa,-8.089486,-34.879452,2,0.82,18500,143.66,1.523,4,litoraneo
2025-04-28 00:00:00+00:00,Brasília Teimosa,-8.088577,-34.879315,2,0.82,18500,37.95,1.538,3,litoraneo
2025-04-29 00:00:00+00:00,Brasília Teimosa,-8.089739,-34.880422,2,0.82,18500,33.08,1.67,1,litoraneo
2025-04-30 00:00:00+00:00,Brasília Teimosa,-8.088279,-34.879095,2,0.82,18500,13.13,1.8,2,litoraneo
2025-05-01 00:00:00+00:00,Brasília Teimosa,-8.089678,-34.880366,2,0.82,18500,14.95,1.908,2,litoraneo
2025-05-02 00:00:00+00:00,Brasília Teimosa,-8.088721,-34.879459,2,0.82,18500,46.41,1.625,4,litoraneo
2025-05-03 00:00:00+00:00,Brasília Teimosa,-8.089946,-34.879649,2,0.82,18500,23.97,1.799,1,litoraneo
2025-05-04 00:00:00+00:00,Brasília Teimosa,-8.089591,-34.879712,2,0.82,18500,12.24,1.737,3,litoraneo
2025-05-05 00:00:00+00:00,Brasília Teimosa,-8.088401,-34.879638,2,0.82,18500,30.36,1.756,2,litoraneo
2025-05-06 00:00:00+00:00,Brasília Teimosa,-8.089801,-34.878725,2,0.82,18500,16.03,1.833,4,litoraneo
2025-05-07 00:00:00+00:00,Brasília Teimosa,-8.089518,-34.878527,2,0.82,18500,10.21,1.754,3,litoraneo
2025-05-08 00:00:00+00:00,Brasília Teimosa,-8.089078,-34.879674,2,0.82,18500,10.63,1.802,1,litoraneo
2025-05-09 00:00:00+00:00,Brasília Teimosa,-8.089502,-34.87878,2,0.82,18500,37.22,1.911,3,litoraneo
2025-05-10 00:00:00+00:00,Brasília Teimosa,-8.088816,-34.878786,2,0.82,18500,51.35,1.636,1,litoraneo
2025-05-11 00:00:00+00:00,Brasília Teimosa,-8.089425,-34.880212,2,0.82,18500,18.13,1.603,1,litoraneo
2025-05-12 00:00:00+00:00,Brasília Teimosa,-8.090097,-34.879413,2,0.82,18500,23.06,1.492,3,litoraneo
2025-05-13 00:00:00+00:00,Brasília Teimosa,-8.088821,-34.879562,2,0.82,18500,42.09,1.389,3,litoraneo
2025-05-14 00:00:00+00:00,Brasília Teimosa,-8.088308,-34.879753,2,0.82,18500,30.18,1.344,0,litoraneo
2025-05-15 00:00:00+00:00,Brasília Teimosa,-8.089064,-34.87921,2,0.82,18500,43.77,1.257,1,litoraneo
2025-05-16 00:00:00+00:00,Brasília Teimosa,-8.088848,-34.879309,2,0.82,18500,23.59,1.394,1,litoraneo
2025-05-17 00:00:00+00:00,Brasília Teimosa,-8.089652,-34.880676,2,0.82,18500,11.56,1.176,2,litoraneo
2025-05-18 00:00:00+00:00,Brasília Teimosa,-8.089319,-34.879017,2,0.82,18500,27.93,1.407,4,litoraneo
2025-05-19 00:00:00+00:00,Brasília Teimosa,-8.089618,-34.878943,2,0.82,18500,30.64,1.229,1,litoraneo
2025-05-20 00:00:00+00:00,Brasília Teimosa,-8.089095,-34.880256,2,0.82,18500,23.27,1.181,4,litoraneo
2025-05-21 00:00:00+00:00,Brasília Teimosa,-8.088846,-34.879573,2,0.82,18500,11.6,1.143,0,litoraneo
2025-05-22 00:00:00+00:00,Brasília Teimosa,-8.089705,-34.8793,2,0.82,18500,6.57,1.129,0,litoraneo
2025-05-23 00:00:00+00:00,Brasília Teimosa,-8.089382,-34.879805,2,0.82,18500,48.19,1.304,2,litoraneo
2025-05-24 00:00:00+00:00,Brasília Teimosa,-8.08902,-34.879598,2,0.82,18500,18.27,1.187,0,litoraneo
2025-05-25 00:00:00+00:00,Brasília Teimosa,-8.089164,-34.879105,2,0.82,18500,28.64,1.384,2,litoraneo
2025-05-26 00:00:00+00:00,Brasília Teimosa,-8.089388,-34.880896,2,0.82,18500,16.77,1.248,2,litoraneo
2025-05-27 00:00:00+00:00,Brasília Teimosa,-8.089597,-34.879615,2,0.82,18500,16.36,1.43,0,litoraneo
2025-05-28 00:00:00+00:00,Brasília Teimosa,-8.088516,-34.880031,2,0.82,18500,5.73,1.621,1,litoraneo
2025-05-29 00:00:00+00:00,Brasília Teimosa,-8.0899,-34.879803,2,0.82,18500,4.16,1.477,5,litoraneo
2025-05-30 00:00:00+00:00,Brasília Teimosa,-8.089696,-34.879569,2,0.82,18500,21.51,1.639,3,litoraneo
2025-05-31 00:00:00+00:00,Brasília Teimosa,-8.089501,-34.878951,2,0.82,18500,51.56,1.748,2,litoraneo
2025-06-01 00:00:00+00:00,Brasília Teimosa,-8.088959,-34.879954,2,0.82,18500,12.3,1.54,1,litoraneo
2025-06-02 00:00:00+00:00,Brasília Teimosa,-8.089261,-34.879725,2,0.82,18500,14.07,1.742,4,litoraneo
2025-06-03 00:00:00+00:00,Brasília Teimosa,-8.088372,-34.8787,2,0.82,18500,44.05,1.728,0,litoraneo
2025-06-04 00:00:00+00:00,Brasília Teimosa,-8.089969,-34.880574,2,0.82,18500,33.48,1.73,3,litoraneo
2025-06-05 00:00:00+00:00,Brasília Teimosa,-8.088948,-34.879467,2,0.82,18500,30.81,1.68,3,litoraneo
2025-06-06 00:00:00+00:00,Brasília Teimosa,-8.088937,-34.879585,2,0.82,18500,35.02,1.575,3,litoraneo
2025-06-07 00:00:00+00:00,Brasília Teimosa,-8.08795,-34.879062,2,0.82,18500,21.44,1.594,3,litoraneo
2025-06-08 00:00:00+00:00,Brasília Teimosa,-8.089225,-34.87961,2,0.82,18500,6.05,1.556,3,litoraneo
2025-06-09 00:00:00+00:00,Brasília Teimosa,-8.088265,-34.879403,2,0.82,18500,34.87,1.416,2,litoraneo
2025-06-10 00:00:00+00:00,Brasília Teimosa,-8.089492,-34.879276,2,0.82,18500,10.57,1.46,1,litoraneo
2025-06-11 00:00:00+00:00,Brasília Teimosa,-8.088237,-34.8798,2,0.82,18500,21.12,1.388,3,litoraneo
2025-06-12 00:00:00+00:00,Brasília Teimosa,-8.089863,-34.878969,2,0.82,18500,25.6,1.359,1,litoraneo
2025-06-13 00:00:00+00:00,Brasília Teimosa,-8.088588,-34.879304,2,0.82,18500,16.3,1.421,3,litoraneo
2025-06-14 00:00:00+00:00,Brasília Teimosa,-8.088542,-34.879925,2,0.82,18500,34.03,1.109,0,litoraneo
2025-06-15 00:00:00+00:00,Brasília Teimosa,-8.089458,-34.880533,2,0.82,18500,36.93,1.152,0,litoraneo
2025-06-16 00:00:00+00:00,Brasília Teimosa,-8.088489,-34.879309,2,0.82,18500,21.58,1.042,3,litoraneo
2025-06-17 00:00:00+00:00,Brasília Teimosa,-8.089805,-34.880187,2,0.82,18500,19.86,0.941,2,litoraneo
2025-06-18 00:00:00+00:00,Brasília Teimosa,-8.088584,-34.879697,2,0.82,18500,16.55,1.057,1,litoraneo
2025-06-19 00:00:00+00:00,Brasília Teimosa,-8.088997,-34.879789,2,0.82,18500,18.25,1.019,1,litoraneo
2025-06-20 00:00:00+00:00,Brasília Teimosa,-8.088949,-34.87965,2,0.82,18500,20.63,0.912,3,litoraneo
2025-06-21 00:00:00+00:00,Brasília Teimosa,-8.088916,-34.879752,2,0.82,18500,20.13,0.992,0,litoraneo
2025-06-22 00:00:00+00:00,Brasília Teimosa,-8.089107,-34.880812,2,0.82,18500,48.98,0.998,0,litoraneo
2025-06-23 00:00:00+00:00,Brasília Teimosa,-8.088842,-34.880381,2,0.82,18500,35.82,1.086,1,litoraneo
2025-06-24 00:00:00+00:00,Brasília Teimosa,-8.089727,-34.880267,2,0.82,18500,16.54,1.192,0,litoraneo
2025-06-25 00:00:00+00:00,Brasília Teimosa,-8.089,-34.879026,2,0.82,18500,7.67,1.275,1,litoraneo
2025-06-26 00:00:00+00:00,Brasília Teimosa,-8.08891,-34.878694,2,0.82,18500,12.01,1.244,0,litoraneo
2025-06-27 00:00:00+00:00,Brasília Teimosa,-8.08879,-34.878571,2,0.82,18500,21.58,1.229,4,litoraneo
2025-06-28 00:00:00+00:00,Brasília Teimosa,-8.089414,-34.879299,2,0.82,18500,22.88,1.291,0,litoraneo
2025-06-29 00:00:00+00:00,Brasília Teimosa,-8.08928,-34.879344,2,0.82,18500,14.75,1.356,1,litoraneo
2025-06-30 00:00:00+00:00,Brasília Teimosa,-8.088581,-34.879347,2,0.82,18500,57.31,1.434,4,litoraneo
2025-07-01 00:00:00+00:00,Brasília Teimosa,-8.088506,-34.879332,2,0.82,18500,43.68,1.421,3,litoraneo
2025-07-02 00:00:00+00:00,Brasília Teimosa,-8.089373,-34.879858,2,0.82,18500,33.81,1.469,5,litoraneo
2025-07-03 00:00:00+00:00,Brasília Teimosa,-8.089004,-34.879479,2,0.82,18500,26.62,1.55,1,litoraneo
2025-07-04 00:00:00+00:00,Brasília Teimosa,-8.089194,-34.879107,2,0.82,18500,29.91,1.481,2,litoraneo
2025-07-05 00:00:00+00:00,Brasília Teimosa,-8.088931,-34.879748,2,0.82,18500,41.32,1.666,1,litoraneo
2025-07-06 00:00:00+00:00,Brasília Teimosa,-8.088452,-34.879611,2,0.82,18500,24.83,1.53,3,litoraneo
2025-07-07 00:00:00+00:00,Brasília Teimosa,-8.089383,-34.879805,2,0.82,18500,12.15,1.338,0,litoraneo
2025-07-08 00:00:00+00:00,Brasília Teimosa,-8.089152,-34.878987,2,0.82,18500,15.2,1.16,1,litoraneo
2025-07-09 00:00:00+00:00,Brasília Teimosa,-8.088958,-34.879729,2,0.82,18500,23.1,1.269,2,litoraneo
2025-07-10 00:00:00+00:00,Brasília Teimosa,-8.088586,-34.880258,2,0.82,18500,30.93,1.152,2,litoraneo
